count,phase,cycle_id,heading_source_cycle_id,heading_yaw,heading_concentration,heading_fallback,linear_velocity_H_x,linear_velocity_H_y,linear_velocity_H_z,acc_H_x,acc_H_y,acc_H_z,omega_H_x,omega_H_y,omega_H_z,alpha_H_x,alpha_H_y,alpha_H_z,quat_H_B_w,quat_H_B_x,quat_H_B_y,quat_H_B_z,left_foot_z,right_foot_z
0.1,0.125,0,0,-0.017324021552622283,0.9999624572119901,1,0.09798248344318758,0.11984466089321019,-0.0653985005523905,1.8448838265634615,2.503274074973428,1.0203503366704165,-0.4645392697975247,-0.12640250417421275,0.40623680949639096,-20.810712233111,-4.3800511716900985,24.452331103242685,0.9999476910355499,0.00023962339694148343,0.007055098155862834,0.007401578433765061,0.040649481869887163,0.03436110311925461
0.10200000000000001,0.1275,0,0,-0.017324021552622283,0.9999624572119901,1,0.10175040831531632,0.1189213237731293,-0.0708283609762665,1.8840380593770376,-0.46199547901638205,-2.7148660999011662,-0.3938171977443438,-0.09620325875592467,0.3879294095898529,35.36103602659046,15.099622709144048,-9.153699953269035,0.9999454901354016,-0.00022864897081053228,0.006932067027675855,0.007804545101640781,0.040848535260097296,0.03438296404562121
0.10400000000000001,0.13,0,0,-0.017324021552622283,0.9999624572119901,1,0.10525219523463503,0.12297849438581175,-0.07660148521116894,1.7509401089587633,2.028543859661026,-2.8865068306102097,-0.33931705087255065,-0.06676140911716263,0.2591463333659024,27.250073435896542,14.720924819381016,-64.39153811197524,0.9999428815636937,-0.0006258976720997966,0.006838908722871019,0.008189700219253077,0.04091206141940906,0.03444347545805469
0.106,0.13249999999999998,0,0,-0.017324021552622283,0.9999624572119901,1,0.10858530712109887,0.12852066329272263,-0.08275482236494817,1.6665930978499477,2.771119267140724,-3.0766225049363287,-0.2943211914388776,-0.03868419849449929,0.10881521776526099,22.497929716836556,14.038605311331674,-75.16555780032071,0.9999409092764567,-0.0009675353927486221,0.00677487987683454,0.008446468687641045,0.04086379727333593,0.034526163814590685
0.108,0.13499999999999998,0,0,-0.017324021552622283,0.9999624572119901,1,0.11180820351394466,0.13426778403781384,-0.08920037560415014,1.6114808018963749,2.873601671010466,-3.222738151179618,-0.2553606149513621,-0.011803605180359427,-0.030533285632592055,19.480288243757748,13.44029665706993,-69.67425169892653,0.9999399167131953,-0.0012629172590566395,0.006738693741197066,0.008553245598450677,0.0407224900117748,0.03462017971276831
0.11,0.13749999999999998,0,0,-0.017324021552622283,0.9999624572119901,1,0.11493408655300204,0.13975760322834788,-0.0958648019601688,1.5629693727783163,2.7449363810014304,-3.332180890767149,-0.2210751584948641,0.013846312285534049,-0.15060633733565415,17.142728228249002,12.82495873294674,-60.036525851531046,0.9999399010845103,-0.0015181614744160874,0.00672921526158589,0.00852097804249576,0.040503722575775544,0.03471793851578484
0.112,0.13999999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.11791777922677356,0.14500880460527799,-0.10266818311314758,1.491866028698704,2.625614837477302,-3.4016631485897584,-0.1909000095267052,0.038048287165289574,-0.25184534909055173,15.087574484079445,12.10098743987776,-50.61950587744879,0.9999407191639341,-0.001738085547038752,0.006745257683253266,0.00836891362913716,0.040220673373303026,0.03481390211416969
0.114,0.1425,0,0,-0.017324021552622283,0.9999624572119901,1,0.12088812811673788,0.14995638262384403,-0.10955585445757843,1.4851901166491575,2.473786977177928,-3.4438127281261997,-0.16430242436290868,0.06128913875918854,-0.334232324848246,13.298792581898256,11.620425796949485,-41.19348787884714,0.999942187302143,-0.0019269421752305196,0.0067854069208847356,0.00811586102502221,0.039884593772348716,0.03490401000480502
0.116,0.145,0,0,-0.017324021552622283,0.9999624572119901,1,0.12384418864143987,0.15469753603070593,-0.11647484586738228,1.4780410121094272,2.370563014885468,-3.4594765063599118,-0.14159387842417662,0.08353123707981491,-0.40139655004110675,11.354272969366031,11.121049160313186,-33.58211259643037,0.9999440958624037,-0.002088447956473702,0.0068487235176527515,0.0077806504375823905,0.03950508552628462,0.03498520082157411
0.11800000000000001,0.1475,0,0,-0.017324021552622283,0.9999624572119901,1,0.1261950177067112,0.15596129687127552,-0.11685010033292624,1.175387771940458,0.631866729593494,-0.18761011150928653,-0.10025675184155691,0.11125362000577692,-0.456277589446831,20.668563291309844,13.861191462981001,-27.440519702862126,0.9999462568955076,-0.002226607690957175,0.00693423183272153,0.007378480042942922,0.039090211137519135,0.03505529928437151
0.12,0.15,0,0,-0.017324021552622283,0.9999624572119901,1,0.12874527244415712,0.156603032859663,-0.11640503211023986,1.2750992998732598,0.32084276976588305,0.22254605522027582,-0.05881682347185945,0.13560286187555978,-0.5012645373434224,20.719964184848738,12.174620934891424,-22.493473948295676,0.9999485134284258,-0.0023228417684169832,0.007047260642990546,0.006921778371913195,0.03870796599051076,0.03511833676412024
0.122,0.1525,0,0,-0.017324021552622283,0.9999624572119901,1,0.13016221017622331,0.1620156291589919,-0.11344833291965514,0.7084150800165362,2.7064535491868824,1.4783821342299746,-0.11896066697008617,0.10568986605629212,-0.49570117846841777,-30.071921749113354,-14.956497909633823,2.7816794375022935,0.9999507542621403,-0.0023771479387440365,0.007184440293761848,0.006420438919542844,0.038359585051764254,0.03517369698767947
0.124,0.155,0,0,-0.017324021552622283,0.9999624572119901,1,0.13190811083145287,0.1634827171747073,-0.11029851989500748,0.8729190445731188,0.7335469683255753,1.5749301011625096,-0.16858573537241625,0.0765058856742401,-0.40456606209836243,-24.812534201165047,-14.59199019102601,45.567558185027664,0.9999527593256551,-0.002491876443771024,0.007292051879643341,0.0059241580146186515,0.03803789172436743,0.035218047226687116
0.126,0.1575,0,0,-0.017324021552622283,0.9999624572119901,1,0.1338166243468018,0.16345549899264294,-0.10704967178040294,0.9542327977839402,-0.013656748276620893,1.6244410767111095,-0.2126561694977836,0.04790575455011688,-0.28944945599149086,-22.035217062683675,-14.300065562061613,57.558303053435786,0.999954079375296,-0.0026570737996763284,0.007370512981303374,0.005518572090648921,0.03773869151489355,0.03525715067094101
0.128,0.16,0,0,-0.017324021552622283,0.9999624572119901,1,0.135817352255979,0.16312248888237704,-0.10379347566143936,1.000342287989187,-0.1665565070156424,1.6281105406014156,-0.253594566215196,0.019621776076079588,-0.17828494893522595,-20.469198358706194,-14.14198923701864,55.582253528132455,0.9999546934392654,-0.002867340250586377,0.0074202847095679115,0.00522769581186084,0.03745924416968526,0.03529430110027908
