count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_ref,H_R_W_00,H_R_W_01,H_R_W_02,H_R_W_10,H_R_W_11,H_R_W_12,H_R_W_20,H_R_W_21,H_R_W_22,H_R_IMU_00,H_R_IMU_01,H_R_IMU_02,H_R_IMU_10,H_R_IMU_11,H_R_IMU_12,H_R_IMU_20,H_R_IMU_21,H_R_IMU_22,lin_acc_H_x,lin_acc_H_y,lin_acc_H_z,ang_vel_H_x,ang_vel_H_y,ang_vel_H_z
0.064,0.08,0.9999600405939849,0.002260047287170904,0.008648344554606436,0.00012465152029363406,0.00028842756007353134,0.00028842756007353134,-0.012720682758786022,0.9999190932060836,-0.012720339693716097,0.0,0.012720339693716097,0.9999190932060836,0.0,0.0,0.0,1.0,0.9997658181604809,-0.012930394088705456,0.01735262938620766,0.013006797573342256,0.9999061734940493,-0.004297374241854418,-0.017295434507129462,0.004522070012640992,0.9998401966454491,2.7459984125397554,2.951679185016245,0.9693537466802447,-0.11537257454973045,-0.12561342434787234,0.2925437892228368
0.066,0.0825,0.999961205736759,0.0021743801836729645,0.008530947260069833,0.00028641080818964993,0.0006099872501173804,0.0006099872501173804,-0.012751275420081882,0.9999187035891223,-0.01275092987390049,0.0,0.01275092987390049,0.9999187035891223,0.0,0.0,0.0,1.0,0.9997652204786448,-0.013286464009297201,0.017116477307452152,0.013358920688520272,0.9999022537729373,-0.004125789359424131,-0.01705998708454081,0.004353478371390222,0.9998449900193255,2.74207522499169,2.976644576922041,1.0637508986096176,-0.08278611757966006,-0.11881324275622972,0.16222908287458673
0.068,0.085,0.999962267867181,0.00212027660748953,0.00841802947780022,0.00032256587463698645,0.0006809010472056538,0.0006809010472056538,-0.012782006725613625,0.9999183112642324,-0.012781658675061482,0.0,0.012781658675061482,0.9999183112642324,0.0,0.0,0.0,1.0,0.9997676865097611,-0.013390901616627777,0.016889546021544143,0.01346059341122508,0.9999013234979225,-0.004019414400236233,-0.016834055837431035,0.004245823947944378,0.9998492824136372,2.7394892523983265,2.8556245840817556,1.1738791481610562,-0.05235789841957714,-0.11367408836338959,0.03637021268471154
0.07,0.08750000000000001,0.9999632562816574,0.0020961725672733996,0.008308556947521951,0.0002450073535476445,0.0005249015253732389,0.0005249015253732389,-0.012812879174689887,0.9999179161866107,-0.012812528596110354,0.0,0.012812528596110354,0.9999179161866107,0.0,0.0,0.0,1.0,0.999773018847909,-0.01326754146513688,0.01666982685001528,0.013335544066345953,0.9999031771753103,-0.003974863415837796,-0.01661547616510469,0.004196262407297001,0.999853147884036,2.7333448993286327,2.7059190832556004,1.291279811183955,-0.023363766601816976,-0.10961908630409035,-0.077584352899794
0.07200000000000001,0.09000000000000001,0.9999641544607547,0.0021008015004980026,0.008201950100612476,6.664226189837036e-05,0.00016776365580276027,0.00016776365580276027,-0.012843894564320227,0.9999175183201066,-0.012843541433711733,0.0,0.012843541433711733,0.9999175183201066,0.0,0.0,0.0,1.0,0.9997808221753977,-0.012942238210384127,0.016456186690475372,0.013009540547296949,0.9999074142542945,-0.003989332530506128,-0.016403032190248922,0.004202545585284103,0.9998566292952051,2.7234976272589893,2.5643732422305274,1.4100309635838517,0.004492674136202747,-0.10618885706032097,-0.17861999538930606
0.074,0.09249999999999999,0.9999649157445925,0.002133003142190032,0.008097981802085515,-0.00020066947814932113,-0.0003668269585029642,-0.0003668269585029642,-0.01287505384931768,0.9999171176391282,-0.012874698142399069,0.0,0.012874698142399069,0.9999171176391282,0.0,0.0,0.0,1.0,0.9997906155279722,-0.01243874516255796,0.016248160541400318,0.012506260094526616,0.999913550165179,-0.0040602530113061286,-0.016196251438102223,0.0042626065791614345,0.9998597459766569,2.7094168204008886,2.4476352250365214,1.524311547021842,0.03130132462242301,-0.103026128122957,-0.26778413684895086
0.076,0.09499999999999999,0.9999654756889583,0.00219121747334439,0.00799669912929723,-0.0005466252613695693,-0.0010583033537505783,-0.0010583033537505783,-0.012906357069613362,0.9999167141297108,-0.012905998761896935,0.0,0.012905998761896935,0.9999167141297108,0.0,0.0,0.0,1.0,0.9998018895508654,-0.011777703289882164,0.016045789345956914,0.011846260809531222,0.9999210758065581,-0.0041842875962462625,-0.015995241647186523,0.004373541250638265,0.99986250273804,2.6925891871582173,2.3513989607156622,1.6317251161776873,0.05664357081343183,-0.09985805193639703,-0.34663047062154656
0.078,0.09749999999999999,0.9999657579738489,0.002274310852101137,0.007898349560327117,-0.0009625300815943242,-0.0018893046185564164,-0.0018893046185564164,-0.01293780326735155,0.9999163077907314,-0.01293744233422486,0.0,0.01293744233422486,0.9999163077907314,0.0,0.0,0.0,1.0,0.9998141373117048,-0.010976527788825671,0.015849500602629376,0.011046894644440593,0.9999294802039933,-0.004358983561164067,-0.01580053639488992,0.004533261152085399,0.9998648871687418,2.6737731622067225,2.26440140970644,1.729881267202364,0.080928319409296,-0.09647559902027007,-0.41676985997196414
0.08,0.09999999999999999,0.9999656803102086,0.0023811433949209276,0.007803333784248548,-0.0014409509802023313,-0.0028449919551423084,-0.0028449919551423084,-0.012969390101459111,0.9999158986390644,-0.012969026518301213,0.0,0.012969026518301213,0.9999158986390644,0.0,0.0,0.0,1.0,0.9998268647437489,-0.010050106318468982,0.015660009568093245,0.010122991138877244,0.9999382637062845,-0.004581902057400292,-0.015612994174325275,0.004739634906706006,0.9998668762759688,1.0757258057173242,5.374350704778963,1.4201235524430178,0.10413585511233157,-0.09272326194100608,-0.47946415781510515
0.082,0.1025,0.9999654712909144,0.002405225764295431,0.007720127878776607,-0.001915917664833626,-0.003795027734896174,-0.003795027734896174,-0.013001121762563767,0.9999154866069032,-0.013000755504195416,0.0,0.013000755504195416,0.9999154866069032,0.0,0.0,0.0,1.0,0.9998382872926657,-0.0091319962842969,0.015492124048451619,0.00920486533084304,0.999946874349359,-0.004638850416659097,-0.015448939054513394,0.004780703171154012,0.9998692290291162,1.4251789505501034,3.038233052642768,2.130198199360061,0.02133395921563249,-0.08183063746819218,-0.4753369246753314
