bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
30,0.305,80,0.6008396195781287,-1.0753292089199458,0.10988446758968336,0.02080141945367189,0.07368168826940295,0.14823383103696347,0.08396347729465725,-0.011794640654393968,-0.03590657248969429,0.012590398230559545,0.006773161394431204,0.0072814647079620905,4.08157629258497,2.195285437094959,-1.8904916153279523,0.03423111976958295,8.485471603285745e-06,0.07927110045429198,0.00018248609716747945
31,0.315,80,0.5774015336469562,-0.9976179636096336,-0.2979315929498593,0.002994112790714241,0.0034706493714006317,0.10568023823257665,0.1163999930981161,0.007774834378189932,-0.06165483236267094,0.007758582357981102,0.005789454953537661,0.006871088080516844,3.5239164151989137,2.275402206306531,-2.561724712405533,0.03425201843288704,9.05546291369864e-06,0.07867936945515483,0.00018594697688456804
32,0.325,82,0.6705032656423303,-1.0277925689794987,0.0653722916455194,0.06543793683984143,0.014971897301853889,0.42311655281933414,0.14034613993783987,0.024611794646510532,-0.07689416788818282,0.009377972190277896,0.005053930768025763,0.003068284889365758,3.5947316725833556,2.0666273939718756,-1.4419909851217652,0.03427637849180346,9.997903533955778e-06,0.07808667105096341,0.00019310947312474583
33,0.335,79,0.6604856202007782,-1.061340397602336,-0.10774602778334118,0.015473024104059768,0.009102645945345196,0.14893829994740715,0.1739156998594498,0.04084087268173994,-0.08472668812461918,0.009177179031604997,0.005236091953785107,0.001957549810609511,3.6450452933434305,2.097164899597765,-0.672301815064327,0.03430493583226894,1.088913857627505e-05,0.07742326568566874,0.00021567261642076155
34,0.345,80,0.6528755510563113,-1.07416242488394,-0.3242847032413893,0.06557882569234474,0.028219413789552027,0.39664291240980104,0.19866686463133476,0.05816643304007477,-0.08765099692921205,0.00597392007919987,0.005570015397461949,0.0006666990106027208,3.286599422531117,2.0127952942387415,-0.5335099413193798,0.03433888401572947,1.3087707995063968e-05,0.07672858686544394,0.00021712852297051533
35,0.355,80,0.7425252861531432,-1.0038723180738074,0.13773458983023912,0.030312508409616686,0.0048734248855326154,0.22027566391921277,0.22650129061994767,0.0730455973895598,-0.09326284718572926,0.010353274185120415,0.004239606806747993,0.0043891031984562776,3.4821001452209033,1.9755850581482455,-1.289670934461415,0.03437871415271483,1.4620354571238656e-05,0.07599236220035883,0.00025320561258819295
36,0.365,82,0.6787393540746804,-1.0123892941960062,-0.4590386810659932,0.009610227663328216,0.005395207017759193,0.14665916101704038,0.2543804669548692,0.0897757939704467,-0.10828573188059469,0.006690173055856328,0.006031811348041489,0.004390399233188,2.928874879649126,2.1821179945262643,-1.582905475971187,0.03442448054569383,1.711262034934637e-05,0.07513844805768569,0.00027402686673652274
37,0.375,78,0.7260794738948679,-0.9481257895606541,-0.0649663098530225,0.04706074869693617,0.06510176830185897,0.48875966172777696,0.2733632886943337,0.10795948530198003,-0.11858933480126825,0.0067873262438551095,0.0038342986834061644,0.0020091444215178202,2.789507728740672,1.7369795118181612,-1.085010131240352,0.03447647507799455,1.855831589458946e-05,0.07427897001047087,0.0002765764251224643
38,0.385,81,0.6769266039979709,-1.0105255077267454,-0.4338043520276637,0.014778273994551186,0.02755133308373161,0.21048381752446135,0.29901259061471996,0.11756746615953728,-0.12564589398044032,0.007562103031752557,0.004141626319710054,0.0022791589573743984,2.867888644341232,1.7146910710935337,-0.7646142047141061,0.034533042178399045,2.0392820424065965e-05,0.07326227485588153,0.0003499631841246079
39,0.395,79,0.6538615621340376,-1.029765472717253,-0.753267243633209,0.026052794586979983,0.110281061890637,0.456080062086451,0.3192495070037934,0.13539454243947657,-0.13082316207669395,0.004774319457278671,0.006736976693690692,0.0007589286243054279,2.4644127651305343,1.61677452240345,-0.47830290735749803,0.034594338613510196,2.1268465991613373e-05,0.07213517445284306,0.0003456533956833977
40,0.405,82,0.6240155031943129,-0.9132256153211705,-0.39565403563240364,0.03793010099149196,0.06383951750836564,0.32820295717099407,0.3384431948568085,0.14343585851799248,-0.1332987404981603,0.007299885226623191,0.0011686790549828585,0.002069155202848055,2.6586393994020954,0.9745709562253776,-0.6734889031419655,0.03465917613778153,2.2570263362412972e-05,0.07088668432922514,0.0004462559453971606
41,0.415,78,0.5511216097699426,-1.063055189347618,-1.2099648627002035,0.01708523308456426,0.03207300373556277,0.17930076301964462,0.3617877373942269,0.15098767773908262,-0.1415989845269654,0.0065433537684824895,0.004743046999993745,0.0025688267106382112,2.638371658372576,1.375991643670974,-0.8099686854534556,0.034726455248566435,2.2690325734411464e-05,0.06936741747437847,0.00047518707676609827
42,0.425,81,0.4646256327514375,-0.8991868719379165,-0.8680947583846341,0.05049371800885024,0.19222954997238262,0.5321002722955746,0.3806571413907697,0.16545172481672807,-0.14625823946541558,0.004734302100310575,0.003726110247904775,0.0013126575018010983,2.4795551801657862,0.5795003033078286,0.25296808567539486,0.03479581810012357,2.4634509376906e-05,0.06777680443846357,0.0005322324305275241
