bin_id,phase_center,bin_count,acc_W_x,acc_W_y,acc_W_z,acc_W_std_x,acc_W_std_y,acc_W_std_z,omega_W_x,omega_W_y,omega_W_z,omega_W_std_x,omega_W_std_y,omega_W_std_z,alpha_W_x,alpha_W_y,alpha_W_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,omega_W_raw_x,omega_W_raw_y,omega_W_raw_z
23,0.235,82,0.3121314736255012,-1.2859961583995374,-0.16811950672889336,0.013420772954683826,0.01371219784422524,0.0668138814123383,-0.1332251749369422,-0.09830370866508736,0.02721373464312826,0.009187120640647485,0.0006996114058331289,0.005567129265632037,3.6888559441656947,0.7715438023150386,-1.0477964151711467,0.034132617416555565,4.664895665638816e-06,0.08288256436224405,0.00018317974255477863,-0.13424224069160065,-0.09772178091648359,0.020157454288258006
24,0.245,79,0.32847162719088113,-1.3477215519139996,-0.268224852763634,0.06987235995347713,0.07606642052425792,0.19659887567625486,-0.1030118672120384,-0.09166232266250404,0.020685963906670976,0.007216645724786016,0.0022720731639619034,0.006268030548111503,3.8250945310289994,0.934219139128745,-0.7235184792061709,0.0341396987474066,4.920857226249385e-06,0.08242232570413528,0.00018635986719817884,-0.10707259091792193,-0.10226937847082472,0.03955247897224736
25,0.255,80,0.42811043382661984,-1.1878401627362751,-0.07263783043460177,0.012148614343603504,0.11057547377913174,0.0841998329152966,-0.0720236624404782,-0.08335620243902744,0.015637438975829525,0.012431136997180191,0.007794040536918891,0.01169954344794281,3.9196154101678746,1.2038692829522646,-0.8303722889767805,0.03414730178783911,6.673687678926597e-06,0.08192826484813183,0.00017553404200156613,-0.07087456603875328,-0.08923128417165942,0.035749985656872374
26,0.265,80,0.4443007966790482,-1.099015960728208,-0.3042917218994633,0.009573928310552359,0.014794309375034136,0.06262872640891683,-0.04029802064935239,-0.07240041413526781,0.007400007283042487,0.008280517600988411,0.004326177975306739,0.00816491173794784,3.9563124735461606,1.5551726794179972,-1.2285804302376016,0.034157510916665454,9.052941285044869e-06,0.08146110448240548,0.0001660297679097911,-0.03722422964653147,-0.06976595562460848,-0.0010764597244118737
27,0.275,81,0.5070832276745277,-1.1368828124023964,-0.0148215242717848,0.03120629371779783,0.03924098192626269,0.2863609634383628,-0.008722662863739631,-0.05847343956833949,-0.004019847907972102,0.009931304915535335,0.0044396309805943895,0.0030201713963192525,3.906926347407649,1.762810509378021,-1.438661641327514,0.03417088795447934,9.948234822277295e-06,0.08098115686082374,0.000164258447202978,-0.010704684907583598,-0.057792613011560974,-0.01619626431381824
28,0.285,79,0.5107903154700675,-1.1675026638598804,-0.12661966406952693,0.00618341159780301,0.009464024413499333,0.09585873642661048,0.022212800909169994,-0.04419544598521947,-0.015618578978197737,0.00951541990235011,0.003983505573511327,0.0013015645684277316,3.855576243127012,1.7773785626804564,-1.3088616631173506,0.03418713372369069,1.0041608025620823e-05,0.08046518473689922,0.00016934603810027217,0.024385968264028363,-0.04294283939768543,-0.02102970417567719
29,0.295,77,0.510288447458135,-1.180333963924882,-0.2718881683748245,0.0490966605424073,0.030194803791921906,0.2859205161123527,0.05296655702629256,-0.030035382565452188,-0.02496163451784971,0.0064481602067779364,0.0026418976422562823,0.0026846024955510194,3.8185109908851853,1.8246601737884038,-1.1698658599739504,0.03420481867797343,1.030525594877662e-05,0.0799316149196459,0.00016446503962342233,0.05080419801014183,-0.03263450563618313,-0.01754679698282558
30,0.305,80,0.572560623503555,-1.0838580736329813,0.10713856300417948,0.01854734807809167,0.07281552862854349,0.14645484743954407,0.08330897676333296,-0.015000883204605006,-0.03433643273778095,0.012640421635636574,0.00646369473776614,0.007242510327666836,3.7779522046510525,1.8876413132231693,-1.211669511702969,0.034223956787652915,1.0580372510095971e-05,0.07938070575907609,0.00017701151329427696,0.08380275282579483,-0.01784131625605933,-0.0222436696942558
31,0.315,80,0.552509016482513,-1.0060461775660359,-0.2975628525199732,0.00426569447921279,0.003521096331934523,0.10524053721046808,0.1134137923007094,0.00016687844611852198,-0.044348346705097214,0.007959243329663544,0.005604895491411536,0.006809728607497541,3.749269061550594,1.9792978112485644,-1.3365711026895455,0.03424450252685213,1.1038158438126295e-05,0.07879484589604484,0.0001790120159494803,0.11654455093908138,0.0010343614742279205,-0.04779173742267174
32,0.325,82,0.641890136086605,-1.036274738425893,0.061891519416441686,0.06289122801003753,0.015410296194798705,0.4198112658747747,0.14329728174814246,0.016667881775372026,-0.05572157038081368,0.009574584080589591,0.004969031998569753,0.003089308159421099,3.6750053807627157,2.058037912948616,-1.4342291320571243,0.03426885256131813,1.1890581743060008e-05,0.07820583981263378,0.00018894932356150931,0.14100741377761836,0.017379883792674935,-0.06307025541347443
