count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
4.48,0.6000000000000002,0.9995801384474371,0.021702050171002473,0.013730560646956016,-0.01341788150552714,-0.02624185597710983,-0.02624185597710983,-0.022844769522343756,-1.2338610346277938,2.000259141673161,9.825964893885192,0.2740578694747596,0.020074775615968037,-0.0639172743797623,-1.3609684573639425,-4.449858808201108,-7.906651921630613,-0.9141073217434824,1.6000884204787336,0.12363783482510904,0.27268903297276564,0.01565716020401449,-0.07065178718148177,-1.693585543116577,-4.067047139975174,-8.047329538977303,0.06492308054207246,0.033121183458461684
4.482,0.6024999999999999,0.9995733674858551,0.021955976591374333,0.013749787566901681,-0.013489308609778731,-0.026376785521183513,-0.026376785521183513,-0.022844785217002988,-1.0479854643882416,1.5921698100222474,9.873015120088668,0.2546878592428296,0.021188619230621614,-0.06841868067094425,-9.685005115964984,0.5569218073267889,-2.2507031455909763,-0.737770598485128,1.180662896821164,0.14848560108892883,0.2532429059651096,0.01747455630679349,-0.07455635154415519,-9.72306350382801,0.9086980513894998,-1.952282181336709,0.06555629767272919,0.0331870313682289
4.484,0.6049999999999996,0.9995670704562657,0.022194370109939132,0.013766702825502486,-0.013548412756275668,-0.026487580352065995,-0.026487580352065995,-0.022844800911662216,-0.9080989138802801,1.4496037668155306,9.943827681844864,0.23901259754556217,0.01893756334443126,-0.05625740666808785,-7.837630848633717,-1.1255279430951777,6.080637001428201,-0.599584112725418,1.0267722102323236,0.20957790550292543,0.23784429895235892,0.015101432921309527,-0.062069195866419354,-7.699303506375349,-1.186561692741981,6.243577838867916,0.06619539912136296,0.033249258874115326
4.486,0.6074999999999994,0.999561292133324,0.022419397683448125,0.013779289786765415,-0.013591359359596348,-0.026566602886077043,-0.026566602886077043,-0.02284481660632145,-0.8405065465607646,1.406811649036655,9.9966810119381,0.2254774488485876,0.014781870339885973,-0.04018777177250594,-6.767574348487279,-2.077846502272643,8.034817447790957,-0.5315021781467483,0.9754087874531983,0.2590260033979863,0.22463675119151327,0.01059069230162691,-0.04582366070870033,-6.603773880422825,-2.2553703098413083,8.122767578859511,0.0668307074897995,0.0333080205393395
4.488,0.6100000000000002,0.999556022267316,0.02263267704171571,0.013785539900035006,-0.013619073710396945,-0.026615754543780044,-0.026615754543780044,-0.022844832300980677,-0.7944386053769493,1.4013663609340556,10.031676011710326,0.21359992223772542,0.00862108157768397,-0.024975104512850135,-5.938763305431096,-3.0803943811010015,7.606333629827901,-0.48453671690892275,0.9628919572449247,0.2928484709924941,0.213006709263031,0.004066239259652777,-0.03057144386804552,-5.8150209642411355,-3.2622265209870664,7.626108420327404,0.06745441101045499,0.03336345881094708
4.49,0.6124999999999999,0.9995512237147275,0.02283559598530652,0.013783880667102058,-0.01363419818471852,-0.026640360865692624,-0.026640360865692624,-0.02284484799563991,-0.7611265465824312,1.4107190263220215,10.052303418169233,0.20316846572309835,0.0008503099848484216,-0.012348212690924135,-5.215728257313534,-3.8853857964177734,6.313445910963,-0.45047981796457515,0.9663165548684599,0.31331694907701824,0.20270686983901154,-0.003992239317447745,-0.018017041746931486,-5.149919712009732,-4.029239288550261,6.277201060557017,0.0680602373329733,0.033415717429570044
4.492,0.6149999999999997,0.9995468519369184,0.02302926527155932,0.013773125723559348,-0.013639821547581773,-0.026646632252982163,-0.026646632252982163,-0.022844863690299137,-0.734767078496484,1.4217592669041703,10.058630429577681,0.1939071528570603,-0.008158745263777143,-0.002765336287811381,-4.63065643301902,-4.504527624312782,4.791438201556377,-0.42391260785901386,0.9724360917616849,0.31975786185600974,0.19345938873738988,-0.01318301896005735,-0.008594711085864598,-4.623740550810829,-4.595389821304803,4.711165330533444,0.06864321377842415,0.033464941863396463
4.494,0.6174999999999994,0.9995428633771081,0.02321460772541934,0.013752405501078714,-0.013638827038245887,-0.026640359767819075,-0.026640359767819075,-0.02284487938495837,-0.7201105701284258,1.41881146656728,10.047882109924256,0.18562087532943009,-0.018088223384104214,0.003969570828566044,-4.143138763815113,-4.964739060163535,3.3674535581887124,-0.4101041495329591,0.9658572020602967,0.30881685561970684,0.18508349574795416,-0.023190172704959006,-0.0020895376166269576,-4.1879464947178615,-5.003576872450828,3.25258673461882,0.06919946377374923,0.033511280114761906
4.496,0.6200000000000002,0.9995392264309062,0.023392389257041752,0.013721156009103518,-0.013633078468386798,-0.026625286172109044,-0.026625286172109044,-0.0228448950796176,-0.7095920850562464,1.415630431534074,10.02624082885279,0.17813418656779523,-0.028612417447894365,0.008866705867892836,-3.7433443808174287,-5.262097031895076,2.448567519663396,-0.40094984860760197,0.9598279837086372,0.28707903626617437,0.17744029228505145,-0.03372886592257112,0.0025265800409059714,-3.8216017314513517,-5.269346608806057,2.3080588287664643,0.06972603806063025,0.03355488203097227
4.498,0.6224999999999999,0.9995359118544478,0.023563257129792053,0.01367902993884697,-0.013624168476052339,-0.026604605140330195,-0.026604605140330195,-0.02284491077427683,-0.6995246633710821,1.4141451772207045,9.996246752957989,0.17132164763495294,-0.039510654042627304,0.012190632439383078,-3.4062694664211413,-5.44911829736647,1.661963285745121,-0.3926435337447846,0.9560553971450184,0.2570690678043146,0.17041789272632787,-0.044586512584037584,0.005531273344769458,-3.5111997793617897,-5.428823330733231,1.5023466519317434,0.07022078235278331,0.03359589696872515
