count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_vel_world_x,lin_vel_world_y,lin_vel_world_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
0.062,0.0775,0.9999571123480803,0.0025016424564282993,0.008906630251710592,-0.00043265120929103897,-0.0008208332522311682,-0.0008208332522311682,-0.02284077656004272,2.683876264248408,0.6023935167265707,10.664395555736581,-0.1644334240616295,-0.12879628298331489,0.4099198314441139,23.922714717211356,5.76519716164299,-10.576321219268825,0.015547489566322278,0.01875978053299073,-0.11484017066736539,2.8739339442891065,0.5467461755909867,0.8077669320504501,-0.15722364832731064,-0.13071368867864985,0.41213560592211806,23.7357624782934,5.798468571687934,-10.971903980572211,0.03692466087639987,0.03439757726195881
0.064,0.08,0.9999587422317111,0.002340795653711691,0.008776903967008086,-2.160639626003517e-05,-2.1214591897900924e-06,-2.1214591897900924e-06,-0.022841709968202818,2.6124616962120153,2.4479502874182435,10.702401162333407,-0.12516285927413004,-0.1205698170337534,0.30096371533053534,19.63528239374973,4.113232974780743,-54.47805805678929,0.02114767379124959,0.023555348196175448,-0.11312772291253968,2.8001246220324227,2.3978116573207,0.8562368584457367,-0.11987092885395043,-0.12197727528160396,0.3025466654870861,18.67635973668011,4.368206698522947,-54.794470217515986,0.03713385139032853,0.03439091800945977
0.066,0.0825,0.9999600393228728,0.0022182422757853577,0.008655672595860437,0.00028016159374400244,0.0005987913004814242,0.0005987913004814242,-0.022842643376362916,2.5959236176050746,2.9762694740714997,10.775579352661161,-0.08999601538605934,-0.11471173775582949,0.17069729051093327,17.58342194403535,2.929039638961954,-65.13321240980103,0.026708672118951216,0.029415297238720398,-0.11126347854930146,2.7805266311544137,2.930042380598313,0.9321428540848533,-0.08696755427404496,-0.11552090935454094,0.17171835824277748,16.451687289952734,3.2281829635315074,-65.4141536221543,0.037332683719426996,0.03439234396244946
0.068,0.085,0.9999611586562863,0.002129718523640384,0.00854059345692156,0.00045137699497591467,0.0009392341712695241,0.0009392341712695241,-0.022843576784523013,2.594015635820183,2.995535429649428,10.873346205654576,-0.05710273958628603,-0.11045864123476136,0.044862296199945285,16.44663789988665,2.1265482605340655,-62.917497155494,0.03226218573668583,0.035318602363715215,-0.10920324788853814,2.7767843503696654,2.9517143670862316,1.0301410647586273,-0.05623233338832451,-0.11070195403771274,0.045359254468707755,15.367610442860224,2.4094776584141013,-63.17955188703486,0.037520489424896365,0.03439738623343511
0.07,0.08750000000000001,0.9999621945668754,0.002073008231509776,0.008430039807364408,0.0004964904002962103,0.0010280406056475742,0.0010280406056475742,-0.022844510192683107,2.5886199926711893,2.884913858097914,11.037569852230376,-0.02634517126453047,-0.10714529680120016,-0.0690193031713902,15.37878416087778,1.6566722167805983,-56.94079968566774,0.03780532262468153,0.041002273482762384,-0.10681479779415667,2.771597059497325,2.8418806463927906,1.194253441711135,-0.027402538477458296,-0.1068858365484938,-0.06900989578429345,14.414897455433104,1.9080587446094686,-57.184575126500604,0.03769665184849372,0.03440311300005353
0.07200000000000001,0.09000000000000001,0.9999631782184646,0.002046092711180314,0.008323038974609152,0.0004274740601845482,0.0008890993302270839,0.0008890993302270839,-0.022845443600843205,2.5837022560350444,2.7195843465068203,11.103712648463482,0.0035334100409944724,-0.10448764338152255,-0.16994294032390447,14.939290652762471,1.328826709838804,-50.46181857625714,0.043337175037456634,0.046355214278748905,-0.10429440679980559,2.765956843968653,2.676499664495838,1.2602268824315548,0.0007896120978005032,-0.10378938606213985,-0.17040509213475763,14.096075287629398,1.5482252431769787,-50.69759817523209,0.037861021971061594,0.034408169316893285
0.074,0.09249999999999999,0.9999640934820077,0.0020482144748109133,0.008218902828612444,0.0002572945127407722,0.0005483127949751813,0.0005483127949751813,-0.022846377009003303,2.570894962790712,2.5772921157041706,11.225541739391144,0.032067585905814336,-0.10202565536065202,-0.2589217098610234,14.26708793240993,1.23099401043527,-44.489384768559475,0.048844783761120204,0.05142067090978828,-0.10152998474717516,2.753836346181272,2.5327441079758457,1.3822435447121642,0.02785608886227793,-0.10094768389710299,-0.2598299822654434,13.533238382238714,1.4208510825184304,-44.712445065342884,0.0380136317796603,0.03441053838911386
0.076,0.09499999999999999,0.9999648939071212,0.002078138858610102,0.008117406472294501,-2.0901347979923233e-06,2.9561968602500985e-05,2.9561968602500985e-05,-0.0228473104171634,2.5540361415333215,2.461467343821533,11.342215448176512,0.05902970055977983,-0.09949203857322729,-0.33758817346034975,13.481057326982747,1.2668083937123624,-39.33323179966317,0.05432056770428541,0.056249421832178306,-0.09853127056572732,2.7379250768991006,2.414381448443928,1.4993899864010931,0.053537663273964385,-0.09808636202277982,-0.33891257035440353,12.840787205843228,1.4306609371615846,-39.54129404448006,0.03815483339010502,0.034409447032019244
0.078,0.09749999999999999,0.9999655147383469,0.002134387537818341,0.008018596158330631,-0.000340352114108436,-0.0006465343718305876,-0.0006465343718305876,-0.022848243825323494,2.5346124642686068,2.3671308456180116,11.451312821640194,0.08477638385098328,-0.09669021533330995,-0.40752820339170576,12.873341645601725,1.4009116199586724,-34.970014965678004,0.0597597040509469,0.0608824746365832,-0.09531298198024861,2.719602158353157,2.3165263289348963,1.6091770277457265,0.07816154679352735,-0.09500230510576416,-0.40924394215083587,12.311941759781483,1.5420284585078297,-35.16568589821617,0.03828513887864469,0.03440451994481923
0.08,0.09999999999999999,0.9999658794345311,0.0022158240900387862,0.007922718001158893,-0.0007487521630238234,-0.0014625267327995435,-0.0014625267327995435,-0.022849177233483592,2.5133130154594214,2.2838700346589014,11.550643023207721,0.10930930292169291,-0.09347079526816654,-0.47002956106230076,12.266459535354816,1.6097100325717026,-31.250678835297503,0.0651585853685952,0.06534017473462075,-0.09189436248276817,2.699475258092243,2.2288460423893306,1.7093418886992513,0.10170619826629766,-0.09154110909643087,-0.4721114022403193,11.772325736385154,1.7305980046666418,-31.433730044741704,0.03840530003074158,0.034395547370641974
0.082,0.1025,0.9999659054123915,0.0023213020511638933,0.007830170080730187,-0.0012198385428598417,-0.002403538780755731,-0.002403538780755731,-0.02285011064164369,0.9482542310810633,5.405703763133333,11.202623697634232,0.026553462529497068,-0.08192449478758321,-0.46720780307860355,-41.37792019609792,5.773150240291666,1.4108789918486075,0.06743237030275327,0.07604198321478443,-0.0890917722774782,1.1368868366711216,5.351128956904248,1.4012668409728821,0.019033549028219656,-0.07980927045106823,-0.46794021502484656,-41.336324619039,5.865919322681323,2.085593607736358,0.03851616935947104,0.03438251429717985
0.084,0.105,0.999965802433284,0.002344108256663764,0.007749303562943336,-0.0016874284367450606,-0.0033388186609585977,-0.0033388186609585977,-0.022851044049803787,1.2613596309282011,3.06085314527043,11.947970224116922,-0.0540972097424585,-0.07471077010137232,-0.3489753128925512,-40.32533613597778,3.6068623431054423,59.11624509302618,0.07034582072201828,0.08204256026487529,-0.08482947382115781,1.4567177872882797,3.0002659109865064,2.1311147018778023,-0.05975093377025828,-0.07288378231240789,-0.34843902833771834,-39.39224139923897,3.4627440693301703,59.75059334356411,0.03868771276182697,0.03436009917752472
